food_name|description|energy|protein|total_fat|saturated_fat|dietary_fibre|carbohydrate|cholesterol|sodium
Cake, rice, with soya sauce, Japanese|Mochi, with soy sauce; rice marble, with soya sauce|120.06 kcal|1.39 g|0.29 g|NA|0.17 g|28.07 g|NA|128.76 mg
Cake, sponge, plain, with jam and cream, commercial|Vanilla sponge with jam and dairy cream filling. Approximately 56% sponge and 44% filling|175.18 kcal|2.54 g|7.56 g|5.4 g|0.49 g|24.89 g|39.42 mg|135 mg
Cake, walnut|Cake made from butter, sugar, eggs, self-raising flour, flour, milk, walnuts, baked.|206.1 kcal|3.4 g|14.35 g|7.85 g|0.39 g|15.84 g|75.51 mg|89.55 mg
Candy bar, chocolate caramel||278.85 kcal|2.15 g|18.81 g|11.04 g|3.03 g|30.2 g|NA|8.8 mg
Candy bar, chocolate, with coconut cream|Chocolate-coated bar with coconut cream centre.|225.44 kcal|2.39 g|11.87 g|9.22 g|3.92 g|27.61 g|4.24 mg|68.9 mg
Candy bar, chocolate, with nuts and caramel||273.03 kcal|4.56 g|14.01 g|5.13 g|1.42 g|33.75 g|7.41 mg|151.62 mg
Candy, coconut||318.18 kcal|3.11 g|13.25 g|NA|NA|46.55 g|NA|3.7 mg
Candy, creamy,white rabbit|Nil|98.88 kcal|0.72 g|1.51 g|0.75 g|NA|20.66 g|1.92 mg|13.44 mg
Candy, peanut and sesame|Peanut and sesame snack|217.92 kcal|6.55 g|13.56 g|2.59 g|1.89 g|17.43 g|NA|26.92 mg
Canned luncheon meat|Luncheon meat, china brand, canned, lean and fat|146.17 kcal|4.34 g|13.45 g|5.14 g|0.33 g|1.96 g|23.35 mg|389.95 mg
Canned sardines, with onion and tomato, stir fried|Sardines with onions and tomatoes, stir-fried.|93.93 kcal|7.6 g|6.04 g|2.7 g|1.36 g|2.21 g|17.75 mg|195.38 mg
Cappucino|Nil|76.83 kcal|5.32 g|1.58 g|0.89 g|1.97 g|10.44 g|7.88 mg|63.04 mg
Caramel liquid colour||1.5 kcal|NA|NA|NA|NA|0.65 g|NA|0.35 mg
Caramel macchiato|Caramel macchiato|523.85 kcal|17.3 g|26.3 g|16.7 g|0.3 g|50 g|51.25 mg|217.1 mg
Caramels, confectionery|Toffee,Soft|46.51 kcal|0.3 g|1.37 g|1.04 g|0.18 g|8.94 g|1.68 mg|30 mg
Caraway seed||22.31 kcal|1.32 g|0.98 g|0.04 g|2.55 g|3.34 g|NA|1.14 mg
Carbonara|Pasta, bacon, sauce, ham, and mushroom|744.66 kcal|20.88 g|44.72 g|27.38 g|4.73 g|64.22 g|NA|1083.5 mg
Cardamon seeds||18.69 kcal|0.65 g|0.4 g|0.04 g|1.68 g|4.11 g|NA|1.08 mg
Carp, Javanese, freshwater, raw||97.16 kcal|10.78 g|5.99 g|2 g|NA|0.07 g|74.54 mg|27.29 mg
Carp, big head, raw, freshwater||258.7 kcal|33.23 g|13.86 g|4.63 g|NA|0.41 g|228.3 mg|101.92 mg
Carp, common, freshwater, raw||121.63 kcal|21.34 g|2.87 g|0.78 g|NA|2.6 g|114.91 mg|91.66 mg
Carp, freshwater, raw||97.16 kcal|10.78 g|5.99 g|2 g|NA|0.07 g|74.54 mg|27.29 mg
Carp, grass, freshwater, raw||62.46 kcal|10.21 g|2.4 g|0.87 g|NA|NA|51.94 mg|29.59 mg
Carrageenan gum, powder ME||0.2 kcal|0.05 g|NA|NA|0.85 g|0.85 g|NA|NA
Carrot cake with egg, plain, mashed & fried||402.5 kcal|12.25 g|32.55 g|14.04 g|5.6 g|15.4 g|231 mg|1326.5 mg
Carrot juice|Juice, carrot, fresh|91.14 kcal|1.18 g|0.59 g|0.15 g|2.06 g|19.99 g|NA|194.04 mg
Carrot soup with potato and pork ribs||275.12 kcal|29.71 g|8.91 g|3.71 g|5.94 g|18.57 g|96.54 mg|1514.97 mg
Carrot, boiled|Dimensions of 1 whole small: Length= 17.52cm, breadth= 3.66cm Dimensions of 1 piece, width= 3.125cm, length= 4.92cm|92.7 kcal|2.25 g|0.37 g|0.07 g|6.8 g|21.59 g|NA|135.96 mg
Carrot, cauliflower, snow peas, and mushroom, stir fried||220.48 kcal|7.14 g|15.53 g|7.45 g|9.63 g|12.73 g|NA|1143.01 mg
Carrot, dehydrated||250.12 kcal|5.85 g|1.63 g|NA|9.77 g|47.14 g|NA|198.32 mg
Carrot, green apple, orange juice|Carrot, green apple, orange - mixed juice|65.12 kcal|0.81 g|NA|NA|NA|15.06 g|NA|86.69 mg
Carrot, mature, raw, peeled|Hu luo bo; aruvathu-kelengu; hu-loh-pak; ang-chai-tau; lobak merah|43.58 kcal|1.1 g|0.14 g|0 g|5.38 g|6.9 g|NA|55.21 mg
Carrots, baby, raw||3.5 kcal|0.06 g|0.01 g|0 g|0.29 g|0.53 g|NA|7.8 mg
Cashew leaf, raw||10.87 kcal|1.18 g|0.06 g|NA|0.62 g|1.4 g|NA|2.17 mg
Cashew nut cookies|Butter cookies with cashew on top|62.04 kcal|0.94 g|3.16 g|1.59 g|0.22 g|7.49 g|5.18 mg|34.44 mg
Casserole base, dry mix|Dry mix for reconstituition as a sauce to be served with meat and vegetable dishes. Typical ingredients may include maize starch, thickeners, salt, herbs and spices, falvourings, colours and milk powder.|179.04 kcal|3.41 g|2.35 g|NA|2.83 g|34.7 g|4.32 mg|1707.36 mg
Castella cake, cheese-flavoured||1629.81 kcal|61.49 g|88.18 g|29.13 g|5.97 g|147.46 g|NA|1910.4 mg
Catfish eel, fried||129.57 kcal|14.64 g|7.24 g|3.48 g|0.15 g|1.43 g|52.53 mg|46.92 mg
Catfish, eel, raw||92.04 kcal|13.42 g|3.84 g|NA|NA|0.92 g|NA|58.29 mg
Catfish, freshwater, raw||42.96 kcal|4.48 g|2.65 g|1.5 g|NA|0.29 g|12.97 mg|8.08 mg
Catfish, giant, sea, raw||159.87 kcal|37.51 g|0.41 g|0.13 g|NA|1.43 g|186.51 mg|170.12 mg
Catfish, river, raw||94.12 kcal|20.19 g|1.02 g|0.24 g|NA|1.02 g|60.1 mg|17.01 mg
Cauliflower masala|Cauliflower, with grounded garlic, tumeric, cumin seed , coriander, mustard seed, spring onion, stir fried|52.83 kcal|1.97 g|3.93 g|1.06 g|2.7 g|2.46 g|NA|325.61 mg
Cauliflower with potatoes and tomatoes|Cauliflower, potatoes, cooked in sauteed tomatoes|296.52 kcal|4.59 g|19.77 g|11.26 g|7.06 g|25.77 g|49.42 mg|631.87 mg
Cauliflower, boiled, drained||28.52 kcal|2.28 g|0.56 g|0.09 g|3.35 g|5.1 g|NA|18.6 mg
Cauliflower, raw||184.16 kcal|18.4 g|NA|NA|12.65 g|27.6 g|NA|327.75 mg
Cayenne pepper||16.85 kcal|0.64 g|0.92 g|0.17 g|1.44 g|3 g|NA|1.59 mg
Celery juice|Juice, celery, raw|29.76 kcal|1.49 g|0.25 g|NA|NA|2.99 g|NA|219.12 mg
Celery, Dehydrated||2.87 kcal|0.12 g|0.02 g|NA|0.12 g|0.53 g|NA|15.77 mg
Celery, raw||99.32 kcal|10.55 g|2.64 g|0.66 g|4.62 g|7.92 g|NA|26.38 mg
Century egg porridge|Pi dan zhou; Pei tan juok|224.52 kcal|11.43 g|4.71 g|2.31 g|2.51 g|34.12 g|370.39 mg|834.43 mg
Century egg, whole||96.77 kcal|8.15 g|5.45 g|NA|NA|3.81 g|190.61 mg|225.8 mg
Cereal prawn||1107 kcal|93.6 g|80.1 g|41.4 g|12.6 g|3.15 g|391.5 mg|2578.5 mg
Cereal, puffed rice with cocoa coating|Cocopops|165.9 kcal|2.12 g|0.68 g|0.45 g|0.27 g|38.12 g|NA|266.4 mg
Cereal, rice and wheat flakes, sweetened|Special K|128.95 kcal|6.65 g|0.77 g|0.21 g|0.91 g|23.24 g|NA|190.4 mg
Cereal, wheat bran flakes|Made from flakes of wheat bran with added Fe, B1, B2, B3, Zn and folate|132.99 kcal|4.68 g|1.01 g|0.16 g|6.32 g|23.13 g|NA|148.2 mg
Cereal, wheat bran pellets|All Bran cereal|206.97 kcal|8.71 g|3.19 g|0.52 g|19.5 g|26.65 g|NA|422.5 mg
Cereals, ready-to-eat, muesli, dried fruit and nuts||289 kcal|8.24 g|4.17 g|0.68 g|6.21 g|59.93 g|NA|196.35 mg
Chai bei|Salted vegetables|386.1 kcal|7.22 g|39.2 g|15.99 g|13.07 g|0.98 g|107.06 mg|1195.35 mg
Champagne|Sparkling straw-coloured liquid. Alcohol: 8.5% by volume|96.8 kcal|0.3 g|NA|NA|NA|1.5 g|NA|15 mg
Champignon, canned in brine, heated, drained||1.58 kcal|0.14 g|0.01 g|0 g|0.3 g|0.16 g|NA|38 mg
Chao san si, canned|Nil|344.04 kcal|14.85 g|27.07 g|9.42 g|3.2 g|10.34 g|NA|3214.8 mg
Chao sheng mian|Noodles, yellow, W/ prawn and chye sim in gravy|536.59 kcal|23.66 g|25.07 g|10.99 g|4.92 g|54.07 g|81.61 mg|1194.46 mg
Chapati|capati,rokli,roti|143.38 kcal|3.08 g|5.01 g|2.35 g|3.17 g|21.48 g|NA|119.14 mg
Char kway teow|Fried kway teow with cockles|744.96 kcal|22.66 g|38.4 g|29.18 g|7.3 g|76.03 g|234.24 mg|1459.2 mg
Char siew|Chee cheong fun, with char siew|65.03 kcal|2.01 g|1.29 g|0.64 g|1.85 g|11.27 g|4.83 mg|204.47 mg
Char siew chee cheong fun|Chee cheong fun, with char siew|65.03 kcal|2.01 g|1.29 g|0.64 g|1.85 g|11.27 g|4.83 mg|204.47 mg
Char siew fried rice|Rice, with char siew, peas, diced carrots and egg, fried|508.29 kcal|15.88 g|20.06 g|8.36 g|4.18 g|66.04 g|443.08 mg|1621.84 mg
Char siew rice|Rice, with char siew, peas, diced carrots and egg, fried|508.29 kcal|15.88 g|20.06 g|8.36 g|4.18 g|66.04 g|443.08 mg|1621.84 mg
Char siew soh|Char siew pastry,Dim sum, char siew soh|165.44 kcal|4.18 g|11.09 g|5.76 g|0.84 g|12.23 g|34.32 mg|156.2 mg
Chasoba|Japanese noodles made of green tea extract, topped with seaweed, wasabi and green onions, served with soya sauce|170.23 kcal|9.98 g|1.98 g|0.8 g|2.67 g|28.11 g|NA|556.88 mg
Chawamushi|Egg, steamed, Japanese style|115.82 kcal|8.44 g|7.94 g|2.22 g|0.72 g|2.64 g|205.47 mg|329.22 mg
Chee cheong fun|Chee cheong fun, with char siew|65.03 kcal|2.01 g|1.29 g|0.64 g|1.85 g|11.27 g|4.83 mg|204.47 mg
Chee pah|na|166.1 kcal|4.46 g|4.18 g|NA|0.44 g|27.67 g|NA|22 mg
Cheese Tart|Cheese tart|296.8 kcal|5.2 g|18.58 g|12.87 g|0.8 g|27.12 g|NA|112 mg
Cheese and ham bun||250.75 kcal|9.86 g|9.94 g|5.05 g|3.4 g|30.6 g|21.42 mg|587.35 mg
Cheese bun||250.75 kcal|9.86 g|9.94 g|5.05 g|3.4 g|30.6 g|21.42 mg|587.35 mg
Cheese cake, Fiesta|Whole cheese cake, baked , without crust|173.85 kcal|5.73 g|11.96 g|6.72 g|0.18 g|10.74 g|35.38 mg|96.99 mg
Cheese prata bomb|Prata, cheese, gravy|895 kcal|18.97 g|51.23 g|28.32 g|2.51 g|89.86 g|NA|2026.28 mg
Cheese sausage, cooked||105.7 kcal|5.43 g|8.44 g|3.29 g|0.39 g|2.1 g|13.61 mg|282.1 mg
Cheese slices, reduced fat||40.2 kcal|4.72 g|1.86 g|1.22 g|NA|1.16 g|5.2 mg|247 mg
Cheese spread, cream cheese|Australian produced cream based cheese spread. Major ingredients include cream and cheese with added salt and sugar|83.43 kcal|2.66 g|7.92 g|5.06 g|NA|0.67 g|21.12 mg|299.76 mg
Cheese spread,cheddar|Australian produced cheddar based cheese spread. Major ingredients include cheese and cream with added salt, food acid and natural colour.|69.59 kcal|3.82 g|5.93 g|3.79 g|NA|0.41 g|16.32 mg|339.84 mg
Cheese taiyaki||182.02 kcal|5.85 g|3.88 g|2.2 g|1.22 g|30.93 g|33.44 mg|357.2 mg
Cheese tofu, uncooked||51.75 kcal|2.7 g|3.85 g|1.54 g|0.3 g|1.58 g|3.13 mg|205.5 mg
Cheese, Neufchatel|Prepared by the addition of rennet and culture to pasteurised cows milk, producing a soft, unripened cheese.|70.42 kcal|2.07 g|6.8 g|4.36 g|NA|0.48 g|21.34 mg|72.6 mg
Cheese, blue vein, commercial|Australian and imported cheese. Prepared by the addition of culture, rennet and mould spores to cows milk.|81.26 kcal|4.47 g|7.13 g|4.58 g|NA|NA|22 mg|239.58 mg
Cheese, brie||67.21 kcal|3.86 g|5.82 g|4.07 g|NA|0.02 g|19.2 mg|120.8 mg
Cheese, camembert|Australian and imported soft cheese covered with white mould and labelled as being camembert style. Prepared by pasteurising, culturing and coagulating cows milk prior to salting and curing.|60.29 kcal|3.9 g|5 g|3.28 g|NA|0.02 g|18.2 mg|122 mg
Cheese, cheddar|Australian and imported cheddar cheese. Prepared by curdling cows milk with rennet, followed by curing. Includes unsliced mild, tasty and vintage varieties.|64.08 kcal|4.14 g|5.33 g|3.46 g|NA|NA|16 mg|105.92 mg
Cheese, cheddar, processed||64.14 kcal|4.39 g|5.23 g|3.55 g|NA|0.02 g|16.8 mg|279.51 mg
Cheese, cheddar, reduced fat|Cheddar cheese prepared by curdling cows milk with rennet, followed by curing. Supplied with a fat content of approximately 25%.|53.67 kcal|4.62 g|3.87 g|2.51 g|NA|NA|11.52 mg|88 mg
Cheese, cheddar, reduced fat, reduced salt||55.2 kcal|4.66 g|4.06 g|2.84 g|NA|0.02 g|11.68 mg|48 mg
Cheese, cheddar, reduced salt||55.2 kcal|4.66 g|4.06 g|2.84 g|NA|0.02 g|11.68 mg|48 mg
Cheese, cheedam||56.29 kcal|4.13 g|4.45 g|3.1 g|NA|0.05 g|16 mg|128 mg
Cheese, cheshire|Australian cheese described as being Cheshire style|61.82 kcal|3.87 g|5.2 g|3.36 g|NA|NA|17.6 mg|92.8 mg
Cheese, colby|Australian manufactured cheese described as Colby|61.44 kcal|3.84 g|5.17 g|3.2 g|NA|0.02 g|16.8 mg|95.2 mg
Cheese, cottage||29.21 kcal|3.06 g|1.86 g|1.3 g|NA|0.08 g|7.2 mg|40 mg
Cheese, cottage, creamed|Australian produced creamed cottage cheese. Prepared by curdling, salting, draining and washing cows milk to produce an unripened, white curd cheese.|24.07 kcal|3.08 g|1.14 g|0.7 g|NA|0.38 g|4.4 mg|55.4 mg
Cheese, cottage, low fat||17.97 kcal|3.54 g|0.24 g|0.17 g|NA|0.38 g|2.6 mg|25.8 mg
Cheese, cotto||31.76 kcal|4.15 g|1.68 g|1.08 g|NA|0.02 g|7.35 mg|112.5 mg
Cheese, cream|Australian produced creamed cottage cheese. Prepared by curdling, salting, draining and washing cows milk to produce an unripened, white curd cheese.|24.07 kcal|3.08 g|1.14 g|0.7 g|NA|0.38 g|4.4 mg|55.4 mg
Cheese, edam||56.29 kcal|4.13 g|4.45 g|3.1 g|NA|0.05 g|16 mg|128 mg
Cheese, fruit||64.52 kcal|1.74 g|5.13 g|3.48 g|NA|3.15 g|15.62 mg|58.52 mg
Cheese, gloucester|Australian manufactured cheese described as being Gloucester style.|64.82 kcal|4 g|5.49 g|3.49 g|NA|NA|17.6 mg|99.2 mg
Cheese, gouda|Australian and imported cheese. Prepared by curdling cows milk with rennet, followed by curing.|58.02 kcal|4.01 g|4.7 g|2.98 g|NA|NA|13.82 mg|107.67 mg
Cheese, haloumy|Salty semi-soft cheese that maintains its texture when cooked.|39.2 kcal|3.41 g|2.74 g|1.78 g|NA|0.29 g|8.48 mg|464 mg
Cheese, havarti|Cheese described as being Havarti style.|64.65 kcal|3.1 g|5.87 g|3.81 g|NA|0.02 g|17.6 mg|96 mg
Cheese, mozzarella|Cheese made from cows milk and having a rubbery texture. Typically added to pizza and other Italian-style dishes|61.44 kcal|5.2 g|4.5 g|2.84 g|NA|0.14 g|13.2 mg|91.8 mg
Cheese, mozzarella, reduced fat|Mozzarella cheese produced so as to have a lower fat content than regular mozzarella cheese. Generally sold pre-grated.|57.56 kcal|6.34 g|3.58 g|2.32 g|NA|0.02 g|15.4 mg|116 mg
Cheese, nimbin||63.63 kcal|3.86 g|5.42 g|3.44 g|NA|NA|19.2 mg|41.6 mg
Cheese, parmesan||88.38 kcal|7.62 g|6.54 g|4.1 g|NA|0.02 g|19 mg|287.2 mg
Cheese, pecorino|Hard, grating style cheese described as Pecorino style.|63.99 kcal|5.04 g|4.9 g|3.17 g|NA|0.04 g|15.84 mg|170.64 mg
Cheese, pepato||76.24 kcal|5.2 g|6.22 g|4.36 g|NA|0.02 g|19.8 mg|252.6 mg
Cheese, pizza|Cheese product that is a blend of cheddar, mozzarella and parmesan cheeses, pre-grated, intended for placing on top of pizzas before baking.|62.25 kcal|5.76 g|4.38 g|2.84 g|NA|0.02 g|14.4 mg|143 mg
Cheese, provolone|Cheese described as being Provolone style|61.98 kcal|4.73 g|4.83 g|3.13 g|NA|0.02 g|17 mg|170 mg
Cheese, quark||26.82 kcal|2.16 g|1.92 g|2.84 g|NA|0.28 g|6.4 mg|19.6 mg
Cheese, quark, low fat|Soft, fresh cheese similar in texture to cottage cheese.|15.45 kcal|2.78 g|0.22 g|0.14 g|NA|0.58 g|1.8 mg|32 mg
Cheese, raclette||58.85 kcal|4 g|4.82 g|3.36 g|NA|NA|15.2 mg|139.2 mg
Cheese, ricotta||29.45 kcal|2.1 g|2.26 g|1.52 g|NA|0.24 g|9.6 mg|39.6 mg
Cheese, ricotta, reduced fat|Australian produced ricotta cheese. Prepared by collecting the whey from the coagulation of cows milk and further separation and draining.|25.12 kcal|2.02 g|1.74 g|1.12 g|NA|0.4 g|8.4 mg|37 mg
Cheese, romano|Hard, grating style cheese described on the label as being Romano|37.51 kcal|3.13 g|2.79 g|1.77 g|NA|0.02 g|9 mg|104 mg
Cheese, samsue||62.14 kcal|3.73 g|5.31 g|3.71 g|NA|NA|17.6 mg|124.8 mg
Cheese, steppen||51.59 kcal|4.05 g|3.97 g|2.77 g|NA|0.02 g|13.92 mg|128 mg
Cheese, swiss||68.75 kcal|5.15 g|5.4 g|3.78 g|NA|NA|14.58 mg|86.76 mg
Cheese, tilsit||59.24 kcal|4.19 g|4.77 g|3.33 g|NA|0.02 g|14.4 mg|144 mg
Cheeseburger, Burger King||623.22 kcal|35.36 g|35.05 g|13.54 g|2.87 g|38.87 g|90.61 mg|1180.14 mg
Cheeseburger, McDonalds'|- -|297.54 kcal|13.68 g|12 g|6.79 g|3 g|33 g|27.36 mg|720.48 mg
Cheesecake, baked|Cream cheese cake|216.92 kcal|5.24 g|15.84 g|9.57 g|1.63 g|13.26 g|123.76 mg|134.64 mg
Cheesecake, commercial|Sweet, cake style product prepared with a sweetened cream cheese filling on biscuit crumb base.|335.03 kcal|6.27 g|21.76 g|11.76 g|0.59 g|29.6 g|41.16 mg|264.6 mg
Cheesy BBQ Meltz, KFC|Toasted tortilla bread filled with fried chicken pieces, melted Mozarella cheese, crushed BBQ nacho chips, tomatoes and mayonnaise|558 kcal|24 g|34.2 g|13.4 g|NA|39.4 g|NA|1622 mg
Chendol|Chendol with coconut and evaporated milk|386.4 kcal|5.52 g|14.72 g|12.14 g|4.05 g|58.88 g|NA|195.04 mg
Chendol (2018)|Chendol, red bean, melted ice, coconut milk, syrup|277.2 kcal|5.04 g|9.37 g|8.53 g|6.3 g|43.26 g|NA|234.78 mg
Chendol, durian|Chendol topped with durian paste|408.75 kcal|5.73 g|19.22 g|16.64 g|10.35 g|53.25 g|NA|169.15 mg
Chendol, mango|Mixture of agar cube, attap seed, red bean and mango pudding|333.21 kcal|4.98 g|14.17 g|12.14 g|4.6 g|46.73 g|NA|210.65 mg
Cheng tng|Clear soup made with water, lotus seeds, white fungus, longan and rock sugar|188 kcal|2 g|NA|NA|2 g|41.2 g|NA|20 mg
Cheng tng (2018)|White fungus, melon strip, gingko nut, red date, longan, sago ball, barley|126.14 kcal|1.11 g|0.26 g|0.07 g|1.11 g|30.05 g|NA|13.54 mg
Cherries, sweet, raw||85.05 kcal|1.43 g|0.27 g|0.05 g|2.84 g|21.61 g|NA|NA
Cherry, canned in syrup||173.22 kcal|1.54 g|0.51 g|0.08 g|3.08 g|44.46 g|NA|7.71 mg
Chic Delite 10" Regular Crispy Thin Pizza, Pizzahut||140.3 kcal|9.15 g|4.1 g|2.8 g|2.1 g|14.51 g|10.98 mg|323.91 mg
Chick peas, with tomato and chilli, stir fried (Indian)|kabuli channa|129.35 kcal|7.49 g|6.09 g|0.8 g|6.99 g|11.14 g|NA|279.06 mg
Chicken Curry Pizza, Pizza Hut||163.2 kcal|10.48 g|7.52 g|3.32 g|1.28 g|13.44 g|12.56 mg|426.4 mg
Chicken Drumlets, Pizza Hut||51.03 kcal|5.56 g|2.9 g|0.96 g|0.27 g|0.65 g|15.37 mg|185.22 mg
Chicken Sandwich, Burger King||663.52 kcal|30.16 g|35.73 g|8.51 g|5.57 g|50.92 g|62.64 mg|1067.2 mg
Chicken Tenders, Burger King|6 pieces of Chicken Tenders|225.42 kcal|13.26 g|13 g|2.89 g|1.79 g|11.79 g|39.78 mg|623.22 mg
Chicken and Mushroom Bun|Bun with chicken and mushroom fillings|246.45 kcal|10.23 g|9.88 g|5.38 g|1.67 g|29.11 g|NA|372.93 mg
Chicken and cheese crepe|Chicken and cheese crepe, chicken, crepe,cheese|401.37 kcal|27.86 g|20.71 g|11.85 g|1.64 g|25.3 g|121.54 mg|702.62 mg
Chicken and mushroom noodles soup|Noodles, chicken and mushroom, soup|346.09 kcal|28.73 g|6.53 g|2.61 g|4.57 g|43.75 g|71.83 mg|1782.69 mg
Chicken ball, raw|Raw processed chicken meat, in shape of balls|342 kcal|25.65 g|17.86 g|7.54 g|3.8 g|20.14 g|39.9 mg|1362.3 mg
Chicken banh mi|Vietnamese chicken baguette sandwich|392.2 kcal|19.93 g|19.61 g|6.02 g|4.45 g|33.92 g|NA|930.68 mg
Chicken briyani|Rice cooked with ghee and spices, served with spicy chicken|718.58 kcal|31.92 g|28.5 g|12.16 g|6.84 g|83.6 g|129.2 mg|1356.6 mg
Chicken burger|Croissant with sausage patty, egg and cheese|430.89 kcal|NA|26.9 g|11.5 g|1.49 g|NA|165.36 mg|837.93 mg
Chicken burrito||443.92 kcal|24.4 g|15.92 g|5.83 g|5.95 g|44.91 g|52.08 mg|1398.72 mg
Chicken chop with fried rice|Fried rice, chicken, egg, gravy|4800.81 kcal|300.49 g|239.41 g|73.69 g|9.54 g|356.09 g|NA|10504.84 mg
Chicken chop, grilled|Grilled plain chicken chop with no gravy|679 kcal|51.5 g|30.58 g|12.08 g|6.97 g|49.87 g|76.4 mg|655.2 mg
Chicken croquette, deep fried, commercial||146.96 kcal|5.72 g|9.68 g|3.19 g|NA|9.41 g|15.95 mg|170.5 mg
Chicken curry||214.31 kcal|6.36 g|6.75 g|3.77 g|1.73 g|31.79 g|4.71 mg|293.59 mg
Chicken curry noodles|Noodles, yellow, chicken curry|694.52 kcal|31.48 g|44.61 g|21.73 g|6.41 g|41.82 g|88.76 mg|2219.89 mg
Chicken curry, vegetarian, canned|Mock chicken made with gluten in curry sauce|264.81 kcal|20.66 g|13.97 g|5.91 g|5.82 g|13.97 g|NA|2589.9 mg
Chicken floss|Chinese snack, chicken meat, shredded, dried|128.09 kcal|9.81 g|5.22 g|2.02 g|NA|10.46 g|31.21 mg|752.97 mg
Chicken franks, steamed|Nil|76.5 kcal|4.42 g|5.68 g|1.57 g|0.44 g|1.97 g|14.96 mg|363.46 mg
Chicken gimbap|Korean rice roll with chicken|352 kcal|18.15 g|9.1 g|2.53 g|4.4 g|49.5 g|NA|1273.25 mg
Chicken katsu curry omurice|Rice, egg, chicken katsu, curry, pickles, curry sauce|1124.04 kcal|55.56 g|64.34 g|28.23 g|4.52 g|80.75 g|NA|2551.7 mg
Chicken katsu don|Rice, chicken katsu, egg|920.22 kcal|41.32 g|40.82 g|11.14 g|5.63 g|97.66 g|NA|2241.08 mg
Chicken katsu with japanese curry and rice||576 kcal|30 g|36 g|15.03 g|4.5 g|33.3 g|99.6 mg|1569 mg
Chicken kurma|Chicken, kurma.korma|620.83 kcal|53.73 g|43.85 g|14.62 g|4.84 g|2.78 g|65.77 mg|1177.98 mg
Chicken macaroni soup|Chicken, macaroni, soup|198.56 kcal|15.46 g|1.45 g|0.48 g|0.97 g|30.91 g|28.98 mg|1709.82 mg
Chicken masala|Chicken, skinless, tomatoes and spices, simmered|859.95 kcal|86.91 g|49.6 g|18.65 g|NA|15.93 g|254.8 mg|2329.6 mg
Chicken murtabak|Indian pancake with chicken fried in ghee and served with curry gravy|765 kcal|36 g|32 g|14 g|21 g|83.5 g|175 mg|2470 mg
Chicken mushroom chowder, Pizza Hut (NNS)|Taken from: US NDB 06726 Soup, chicken mushroom chowder, chunky, ready-to-serve, single brand|192 kcal|7.2 g|10.56 g|2.76 g|3.36 g|13.68 g|14.4 mg|813.6 mg
Chicken nugget, deep fried|Nil|57.6 kcal|2.78 g|3.34 g|1.14 g|0.06 g|4.16 g|4.6 mg|129.8 mg
Chicken nuggets, McDonald's||55.25 kcal|3.06 g|2.5 g|0.93 g|0.17 g|2.67 g|10.03 mg|88.4 mg
Chicken opor|Chicken with skin cooked in coconut milk gravy|599.26 kcal|44.21 g|43.12 g|20.1 g|NA|8.4 g|237.51 mg|1794.11 mg
Chicken patty|"burger" daging ayam|156.58 kcal|13.68 g|8.74 g|3.12 g|0.99 g|5.78 g|26.6 mg|184.68 mg
Chicken pau|Chicken pau, chicken pow, chicken bao, chicken bau, chicken pao, ji baozi , chicken bun, pow|214.76 kcal|8.1 g|10.19 g|3.46 g|1.37 g|22.75 g|70.07 mg|250.25 mg
Chicken pho|Noodles, chicken, beanspouts|352.8 kcal|23.52 g|5.25 g|2.2 g|5.49 g|53.31 g|NA|2328.48 mg
Chicken pie|Baked puff pastry filled with chicken chunks and mixed vegetables in a creamy sauce|311.55 kcal|8.93 g|18.14 g|10.6 g|1.95 g|28.09 g|40.64 mg|321.78 mg
Chicken plank dinner, Long John Silver's||120 kcal|7.98 g|5.99 g|1.5 g|3 g|11 g|14.99 mg|400 mg
Chicken pongteh|Chicken stewed with potato wedges and red onions, nonya style|132.38 kcal|9.43 g|9.31 g|2.45 g|0.82 g|2.72 g|6.26 mg|189.29 mg
Chicken porridge|Ji zhou; Gai jouk|181.33 kcal|11.75 g|5.62 g|2.04 g|0.01 g|20.94 g|61.3 mg|1307.65 mg
Chicken pratal with coconut milk|Fried chicken pieces, garlic, shallot, onion, cooked in coconut milk|349.6 kcal|20.14 g|26.6 g|16.07 g|6.65 g|7.79 g|34.2 mg|915.8 mg
Chicken rendang|Chicken, with skin, and potatoes in a coconut and chilli gravy|252.29 kcal|19.84 g|16.94 g|5.8 g|0.35 g|4.87 g|113.68 mg|741.24 mg
Chicken rice, rice only|Steamed rice, with added garlic, ginger and oil mixture|466.1 kcal|6.2 g|7.67 g|2.6 g|5.9 g|92.93 g|23.6 mg|820.1 mg
Chicken rice, with roasted chicken|Roasted chicken rice|524.72 kcal|21.78 g|19.75 g|7.55 g|1.74 g|64.47 g|40.66 mg|1112.23 mg
Chicken rice, with skin removed||634.92 kcal|25.72 g|21.75 g|8.51 g|3.15 g|84.1 g|66.03 mg|1035.54 mg
Chicken rice, with steamed chicken|Steam chicken rice with chicken breast meat|557.7 kcal|28.05 g|13.86 g|4.95 g|3.3 g|80.19 g|36.63 mg|697.95 mg
Chicken sambal|Ayam sambal|163.65 kcal|18.18 g|9.61 g|3.38 g|1.25 g|1.11 g|83.11 mg|220.39 mg
Chicken satay, with satay sauce|Satay ayam|21.36 kcal|2.46 g|0.49 g|0.15 g|NA|1.8 g|9.18 mg|23.13 mg
